step train_total_loss test_total_loss
0.000000000000000000e+00 9.842459106445312500e+01 8.384666442871093750e+01
1.000000000000000000e+03 6.484892368316650391e-01 4.929014444351196289e-01
2.000000000000000000e+03 4.842294454574584961e-01 4.767556786537170410e-01
3.000000000000000000e+03 4.363285601139068604e-01 4.655242562294006348e-01
4.000000000000000000e+03 4.968897700309753418e-01 4.003967344760894775e-01
5.000000000000000000e+03 2.699286937713623047e-01 2.700161337852478027e-01
6.000000000000000000e+03 3.161861896514892578e-01 2.829072475433349609e-01
7.000000000000000000e+03 1.742168366909027100e-01 1.748390495777130127e-01
8.000000000000000000e+03 1.718137860298156738e-01 1.621593534946441650e-01
9.000000000000000000e+03 1.520375758409500122e-01 1.193684563040733337e-01
1.000000000000000000e+04 1.741995364427566528e-01 1.128394454717636108e-01
1.100000000000000000e+04 1.085010245442390442e-01 9.151311963796615601e-02
1.200000000000000000e+04 7.328574359416961670e-02 8.216084539890289307e-02
1.300000000000000000e+04 8.279763162136077881e-02 7.688109576702117920e-02
1.400000000000000000e+04 6.779158860445022583e-02 7.348462194204330444e-02
1.500000000000000000e+04 5.055075138807296753e-02 5.588362365961074829e-02
1.600000000000000000e+04 5.918303132057189941e-02 6.164635717868804932e-02
1.700000000000000000e+04 4.568536579608917236e-02 4.548715054988861084e-02
1.800000000000000000e+04 3.761922568082809448e-02 4.492613673210144043e-02
1.900000000000000000e+04 3.878639265894889832e-02 4.510550945997238159e-02
2.000000000000000000e+04 5.798089876770973206e-02 4.757844656705856323e-02
2.100000000000000000e+04 3.532351553440093994e-02 3.096565417945384979e-02
2.200000000000000000e+04 2.587042562663555145e-02 3.311438858509063721e-02
2.300000000000000000e+04 2.651544660329818726e-02 2.995265647768974304e-02
2.400000000000000000e+04 2.432537823915481567e-02 2.450710162520408630e-02
2.500000000000000000e+04 2.432116121053695679e-02 3.015407919883728027e-02
2.600000000000000000e+04 2.142695710062980652e-02 2.264114655554294586e-02
2.700000000000000000e+04 1.798716560006141663e-02 1.993193104863166809e-02
2.800000000000000000e+04 1.566192135214805603e-02 1.862288638949394226e-02
2.900000000000000000e+04 1.432840339839458466e-02 1.620523259043693542e-02
3.000000000000000000e+04 1.651912555098533630e-02 1.892253383994102478e-02
