step train_total_loss test_total_loss
0.000000000000000000e+00 5.036460494995117188e+01 5.048656463623046875e+01
1.000000000000000000e+03 4.648793339729309082e-01 5.881711244583129883e-01
2.000000000000000000e+03 5.446728467941284180e-01 5.645977854728698730e-01
3.000000000000000000e+03 3.866933286190032959e-01 5.636607408523559570e-01
4.000000000000000000e+03 4.533373117446899414e-01 4.680905640125274658e-01
5.000000000000000000e+03 3.385690748691558838e-01 3.416365683078765869e-01
6.000000000000000000e+03 2.528813481330871582e-01 2.977580130100250244e-01
7.000000000000000000e+03 2.099381089210510254e-01 2.418122887611389160e-01
8.000000000000000000e+03 1.347838342189788818e-01 1.789073497056961060e-01
9.000000000000000000e+03 1.648113429546356201e-01 2.073527127504348755e-01
1.000000000000000000e+04 1.367633938789367676e-01 1.630610972642898560e-01
1.100000000000000000e+04 1.753585934638977051e-01 1.527713239192962646e-01
1.200000000000000000e+04 1.338815093040466309e-01 1.371354609727859497e-01
1.300000000000000000e+04 1.113926023244857788e-01 1.164882779121398926e-01
1.400000000000000000e+04 1.009634286165237427e-01 1.082273796200752258e-01
1.500000000000000000e+04 1.112870275974273682e-01 1.023701727390289307e-01
1.600000000000000000e+04 9.205466508865356445e-02 9.612159430980682373e-02
1.700000000000000000e+04 8.142551779747009277e-02 9.851625561714172363e-02
1.800000000000000000e+04 6.673141568899154663e-02 8.730364590883255005e-02
1.900000000000000000e+04 5.420995876193046570e-02 6.790015101432800293e-02
2.000000000000000000e+04 4.803923517465591431e-02 5.597624182701110840e-02
2.100000000000000000e+04 3.773780167102813721e-02 4.969761520624160767e-02
2.200000000000000000e+04 2.944978699088096619e-02 4.157415777444839478e-02
2.300000000000000000e+04 3.400793299078941345e-02 4.059456661343574524e-02
2.400000000000000000e+04 2.426101267337799072e-02 3.454445302486419678e-02
2.500000000000000000e+04 3.583861142396926880e-02 4.468750953674316406e-02
2.600000000000000000e+04 2.814058586955070496e-02 4.665468260645866394e-02
2.700000000000000000e+04 1.942064240574836731e-02 2.855373919010162354e-02
2.800000000000000000e+04 1.947033032774925232e-02 2.869510464370250702e-02
2.900000000000000000e+04 2.850740402936935425e-02 3.505663946270942688e-02
3.000000000000000000e+04 2.283846214413642883e-02 2.998640201985836029e-02
3.100000000000000000e+04 2.758002281188964844e-02 3.525009751319885254e-02
3.200000000000000000e+04 2.785386703908443451e-02 3.901099041104316711e-02
3.300000000000000000e+04 2.148593962192535400e-02 2.681062184274196625e-02
3.400000000000000000e+04 1.902187988162040710e-02 3.235737606883049011e-02
3.500000000000000000e+04 3.250093758106231689e-02 4.028802365064620972e-02
3.600000000000000000e+04 1.830479502677917480e-02 2.553935721516609192e-02
3.700000000000000000e+04 1.334554050117731094e-02 2.309350296854972839e-02
3.800000000000000000e+04 1.069262251257896423e-02 2.174264378845691681e-02
3.900000000000000000e+04 1.462433487176895142e-02 2.673652395606040955e-02
4.000000000000000000e+04 3.070298209786415100e-02 4.204339534044265747e-02
4.100000000000000000e+04 1.208304986357688904e-02 2.290009893476963043e-02
4.200000000000000000e+04 1.177345681935548782e-02 2.438979037106037140e-02
4.300000000000000000e+04 1.057883910834789276e-02 2.117609605193138123e-02
4.400000000000000000e+04 1.279937848448753357e-02 2.502280101180076599e-02
4.500000000000000000e+04 2.384106069803237915e-02 3.451175987720489502e-02
4.600000000000000000e+04 1.142118684947490692e-02 2.368558011949062347e-02
4.700000000000000000e+04 8.040288463234901428e-03 2.054320648312568665e-02
4.800000000000000000e+04 9.530514478683471680e-03 2.152589708566665649e-02
4.900000000000000000e+04 9.486738592386245728e-03 2.277768217027187347e-02
5.000000000000000000e+04 8.715715259313583374e-03 2.310134656727313995e-02
