step train_total_loss test_total_loss
0.000000000000000000e+00 9.017242193222045898e-01 9.145846366882324219e-01
1.000000000000000000e+03 1.814059354364871979e-02 1.822750270366668701e-02
2.000000000000000000e+03 1.713852398097515106e-02 1.411981321871280670e-02
3.000000000000000000e+03 4.667275119572877884e-03 4.351008683443069458e-03
4.000000000000000000e+03 3.884879406541585922e-03 3.754831617698073387e-03
5.000000000000000000e+03 3.988081123679876328e-03 4.640665836632251740e-03
6.000000000000000000e+03 6.011901423335075378e-03 6.330374628305435181e-03
7.000000000000000000e+03 3.898039693012833595e-03 4.002563189715147018e-03
8.000000000000000000e+03 1.404378097504377365e-03 1.658265944570302963e-03
9.000000000000000000e+03 8.582985610701143742e-04 1.085736555978655815e-03
1.000000000000000000e+04 1.027267309837043285e-03 1.113903475925326347e-03
1.100000000000000000e+04 7.174226921051740646e-04 1.004167716018855572e-03
1.200000000000000000e+04 9.340880205854773521e-04 1.080251066014170647e-03
1.300000000000000000e+04 7.452869322150945663e-04 8.778843330219388008e-04
1.400000000000000000e+04 5.258799064904451370e-04 7.018540636636316776e-04
1.500000000000000000e+04 3.679941291920840740e-04 5.343031953088939190e-04
1.600000000000000000e+04 4.414639552123844624e-04 5.461153923533856869e-04
1.700000000000000000e+04 3.267687279731035233e-04 4.077570047229528427e-04
1.800000000000000000e+04 3.672781458590179682e-04 5.839107907377183437e-04
1.900000000000000000e+04 9.689611033536493778e-04 1.230251626111567020e-03
2.000000000000000000e+04 3.106082731392234564e-04 3.833467490039765835e-04
2.100000000000000000e+04 3.440454602241516113e-04 4.276565450709313154e-04
2.200000000000000000e+04 3.057562862522900105e-04 3.718631051015108824e-04
2.300000000000000000e+04 3.052618994843214750e-04 3.937467990908771753e-04
2.400000000000000000e+04 2.530651108827441931e-04 3.265223349444568157e-04
2.500000000000000000e+04 3.997462627012282610e-04 4.976260825060307980e-04
2.600000000000000000e+04 2.380602381890639663e-04 2.980649296659976244e-04
2.700000000000000000e+04 3.696467028930783272e-04 5.066919256933033466e-04
2.800000000000000000e+04 3.917423018720000982e-04 4.889028496108949184e-04
2.900000000000000000e+04 3.302819677628576756e-04 3.754473582375794649e-04
3.000000000000000000e+04 8.040427928790450096e-04 8.270256221294403076e-04
3.100000000000000000e+04 1.947029522852972150e-04 2.439252421027049422e-04
3.200000000000000000e+04 1.971799356397241354e-04 2.286789385834708810e-04
3.300000000000000000e+04 1.646682649152353406e-04 2.244656789116561413e-04
3.400000000000000000e+04 1.465857203584164381e-04 1.673361111897975206e-04
3.500000000000000000e+04 1.388415985275059938e-04 2.179702714784070849e-04
3.600000000000000000e+04 1.118925647460855544e-04 1.567987346788868308e-04
3.700000000000000000e+04 1.068515775841660798e-04 1.324864570051431656e-04
3.800000000000000000e+04 2.210537204518914223e-04 2.167401689803227782e-04
3.900000000000000000e+04 1.687538024270907044e-04 2.031305775744840503e-04
4.000000000000000000e+04 8.838876965455710888e-05 1.098103748518042266e-04
