step train_total_loss test_total_loss
0.000000000000000000e+00 1.005737781524658203e+00 1.136438131332397461e+00
1.000000000000000000e+03 1.714581549167633057e-01 1.675370782613754272e-01
2.000000000000000000e+03 1.010807007551193237e-01 9.495665132999420166e-02
3.000000000000000000e+03 5.123632401227951050e-02 4.756717756390571594e-02
4.000000000000000000e+03 2.155521698296070099e-02 2.190867438912391663e-02
5.000000000000000000e+03 3.708769753575325012e-02 2.910898253321647644e-02
6.000000000000000000e+03 2.096215635538101196e-02 1.993409730494022369e-02
7.000000000000000000e+03 1.389534585177898407e-02 1.196301728487014771e-02
8.000000000000000000e+03 5.489028524607419968e-03 6.603817455470561981e-03
9.000000000000000000e+03 5.153219215571880341e-03 5.113798659294843674e-03
1.000000000000000000e+04 4.322170279920101166e-03 4.561548586934804916e-03
1.100000000000000000e+04 5.700812209397554398e-03 5.333360750228166580e-03
1.200000000000000000e+04 8.848951198160648346e-03 1.076563820242881775e-02
1.300000000000000000e+04 4.384383093565702438e-03 3.874511457979679108e-03
1.400000000000000000e+04 5.953264422714710236e-03 5.245830863714218140e-03
1.500000000000000000e+04 1.023642905056476593e-02 9.041930548846721649e-03
1.600000000000000000e+04 3.297494258731603622e-03 3.241820959374308586e-03
1.700000000000000000e+04 4.141744691878557205e-03 4.354360047727823257e-03
1.800000000000000000e+04 5.522352643311023712e-03 6.351685151457786560e-03
1.900000000000000000e+04 3.603950375691056252e-03 3.579595591872930527e-03
2.000000000000000000e+04 5.204805172979831696e-03 4.432735964655876160e-03
