step train_total_loss test_total_loss
0.000000000000000000e+00 2.705758571624755859e+00 2.838206291198730469e+00
1.000000000000000000e+03 1.405276209115982056e-01 1.353053599596023560e-01
2.000000000000000000e+03 8.175233006477355957e-02 8.530901372432708740e-02
3.000000000000000000e+03 6.595759838819503784e-02 6.592002511024475098e-02
4.000000000000000000e+03 6.221149861812591553e-02 5.047229677438735962e-02
5.000000000000000000e+03 2.394056878983974457e-02 1.848465949296951294e-02
6.000000000000000000e+03 3.541725128889083862e-02 3.187641501426696777e-02
7.000000000000000000e+03 1.027268357574939728e-02 1.169284246861934662e-02
8.000000000000000000e+03 7.707272656261920929e-03 7.853737100958824158e-03
9.000000000000000000e+03 5.716748069971799850e-03 5.534082651138305664e-03
1.000000000000000000e+04 6.831555161625146866e-03 6.175213959068059921e-03
1.100000000000000000e+04 4.070163704454898834e-03 4.728415515273809433e-03
1.200000000000000000e+04 5.888607818633317947e-03 6.426841020584106445e-03
1.300000000000000000e+04 8.687797933816909790e-03 1.038494892418384552e-02
1.400000000000000000e+04 6.364537868648767471e-03 6.764195393770933151e-03
1.500000000000000000e+04 2.916032215580344200e-03 3.379745408892631531e-03
1.600000000000000000e+04 8.708806708455085754e-03 9.774897247552871704e-03
1.700000000000000000e+04 1.931151840835809708e-03 2.169137122109532356e-03
1.800000000000000000e+04 2.007723320275545120e-03 2.146297134459018707e-03
1.900000000000000000e+04 2.425564220175147057e-03 2.712630899623036385e-03
2.000000000000000000e+04 2.959666773676872253e-03 2.843822352588176727e-03
